
./parallel_primes 1000 t 4;0.000168;0.001810;0.000131;0.000141;0.000143;0.006100;0.000151;0.000146;0.000141;0.000148
./parallel_primes 1000 t 5;0.000450;0.000431;0.000524;0.000682;0.000409;0.000353;0.000382;0.000361;0.000364;0.000376
./parallel_primes 1000 t 6;0.000427;0.000398;0.000454;0.000386;0.000411;0.000462;0.000430;0.000554;0.000579;0.000808
./parallel_primes 1000 t 7;0.000577;0.000449;0.000486;0.000478;0.000514;0.000472;0.000474;0.000501;0.000502;0.000498
./parallel_primes 1000 t 8;0.000559;0.000561;0.000537;0.000548;0.000501;0.000524;0.000547;0.000481;0.000533;0.000541
./parallel_primes 1000 t 9;0.000593;0.000594;0.000652;0.000594;0.000547;0.000636;0.000630;0.000613;0.000637;0.000641
./parallel_primes 1000 t 10;0.000658;0.000683;0.000672;0.000694;0.000692;0.000636;0.000704;0.000662;0.000783;0.001167
./parallel_primes 10000 t 1;0.000283;0.000283;0.000285;0.000281;0.000282;0.000282;0.000742;0.000747;0.000284;0.000190
./parallel_primes 10000 t 2;0.000301;0.000474;0.000408;0.000296;0.000300;0.000301;0.000304;0.000241;0.000293;0.000300
./parallel_primes 10000 t 3;0.000347;0.000289;0.000290;0.001729;0.000291;0.000292;0.000292;0.000323;0.000295;0.000269
./parallel_primes 10000 t 4;0.000604;0.000281;0.000280;0.000293;0.000505;0.000936;0.000501;0.000302;0.006514;0.000303
./parallel_primes 10000 t 5;0.000929;0.000886;0.000912;0.000896;0.000924;0.000876;0.000844;0.000963;0.001130;0.000916
./parallel_primes 10000 t 6;0.000908;0.000961;0.000989;0.000990;0.000943;0.000959;0.000941;0.000962;0.000862;0.000892
./parallel_primes 10000 t 7;0.001175;0.001125;0.001105;0.001217;0.001078;0.001148;0.001671;0.001622;0.001041;0.001126
./parallel_primes 10000 t 8;0.001146;0.001161;0.001200;0.001191;0.001184;0.001102;0.001094;0.001183;0.001133;0.001180
./parallel_primes 10000 t 9;0.001280;0.001252;0.001203;0.001257;0.001253;0.001248;0.001264;0.001248;0.001347;0.001292
./parallel_primes 10000 t 10;0.001366;0.001323;0.001382;0.001369;0.001347;0.001368;0.001373;0.001333;0.001388;0.001389
./parallel_primes 100000 t 1;0.002955;0.002976;0.004630;0.004192;0.002652;0.002860;0.002541;0.003019;0.003030;0.002450
./parallel_primes 100000 t 2;0.005654;0.004492;0.008084;0.003203;0.002044;0.002822;0.003131;0.005634;0.002302;0.001888
./parallel_primes 100000 t 3;0.003221;0.005538;0.004478;0.004327;0.004331;0.004103;0.003755;0.003769;0.003660;0.002898
./parallel_primes 100000 t 4;0.005002;0.004291;0.003166;0.002701;0.002681;0.002891;0.002556;0.002594;0.002544;0.002496
./parallel_primes 100000 t 5;0.006290;0.006619;0.006655;0.006647;0.006341;0.006488;0.006409;0.006555;0.006030;0.006055
./parallel_primes 100000 t 6;0.006520;0.006186;0.006108;0.006676;0.006460;0.006633;0.006546;0.006170;0.006255;0.005942
./parallel_primes 100000 t 7;0.007692;0.007972;0.007900;0.007825;0.008092;0.007944;0.008214;0.008277;0.007495;0.007976
./parallel_primes 100000 t 8;0.007836;0.007361;0.007794;0.007954;0.007893;0.007831;0.007920;0.007739;0.007647;0.007436
./parallel_primes 100000 t 9;0.008603;0.008736;0.008849;0.008835;0.008707;0.008864;0.008780;0.008288;0.008698;0.008865
./parallel_primes 100000 t 10;0.009012;0.009065;0.008541;0.008862;0.008926;0.008952;0.008846;0.009448;0.010661;0.009840
./parallel_primes 1000000 t 1;0.025468;0.025192;0.023817;0.027406;0.029323;0.028290;0.026957;0.021391;0.023883;0.026759
./parallel_primes 1000000 t 2;0.039434;0.039648;0.029495;0.046314;0.042795;0.041350;0.036522;0.044792;0.040686;0.039148
./parallel_primes 1000000 t 3;0.045597;0.037439;0.052764;0.047904;0.052978;0.047319;0.044864;0.048806;0.044197;0.041158
./parallel_primes 1000000 t 4;0.062509;0.051978;0.059438;0.052944;0.048704;0.062247;0.058016;0.049722;0.050301;0.045660
./parallel_primes 1000000 t 5;0.062249;0.059367;0.062565;0.063658;0.063296;0.066908;0.060007;0.061610;0.061136;0.060750
./parallel_primes 1000000 t 6;0.063804;0.060628;0.056437;0.060783;0.060933;0.059932;0.057130;0.053752;0.056527;0.060716
./parallel_primes 1000000 t 7;0.077155;0.076746;0.082110;0.072910;0.073307;0.073575;0.067793;0.075361;0.069195;0.072959
./parallel_primes 1000000 t 8;0.078119;0.068427;0.066246;0.063612;0.064252;0.072874;0.068094;0.069092;0.069290;0.067674
./parallel_primes 1000000 t 9;0.081468;0.075059;0.080825;0.072526;0.076064;0.075607;0.075981;0.075465;0.078920;0.077959
./parallel_primes 1000000 t 10;0.082207;0.082825;0.081506;0.076066;0.075502;0.076137;0.082033;0.075513;0.075148;0.079044
./parallel_primes 10000000 t 1;0.324444;0.322745;0.326260;0.329919;0.325617;0.323618;0.327153;0.322797;0.323065;0.328487
./parallel_primes 10000000 t 2;0.384347;0.388639;0.389513;0.384757;0.388066;0.384604;0.384469;0.389534;0.383846;0.379347
./parallel_primes 10000000 t 3;0.662115;0.657572;0.652136;0.655018;0.667311;0.646082;0.658425;0.660891;0.661269;0.663190
./parallel_primes 10000000 t 4;0.679397;0.682620;0.669461;0.678920;0.678562;0.688153;0.685159;0.679521;0.678760;0.674158
./parallel_primes 10000000 t 5;1.599215;1.574721;1.596906;1.597754;1.606998;1.595683;1.603575;1.602292;1.602442;1.597875
./parallel_primes 10000000 t 6;0.907749;0.924755;0.922535;0.909894;0.920131;0.918565;0.906758;0.908802;0.932828;0.928159
./parallel_primes 10000000 t 7;2.015898;2.037546;2.045382;1.977170;2.102871;2.051684;2.083388;2.079053;2.053026;2.091535
./parallel_primes 10000000 t 8;1.575449;1.547518;1.583895;1.485405;1.654098;1.587964;1.547371;1.567555;1.577922;1.591276
./parallel_primes 10000000 t 9;2.043217;1.957466;1.998384;2.024287;2.041207;2.027242;1.983086;2.042005;2.059023;2.040024
./parallel_primes 10000000 t 10;1.850746;1.859369;1.884273;1.863309;1.837018;1.830000;1.877924;1.841211;1.871000;1.922111
